CONTRATO FD,GRUPO P. 7,,PAGAS EXTRA FD 2 POR S.B,PAGAS EXTRA 2 POR S.B,,,,,,,,,,,,
,COSTE HORA FD 6.192,,SBDIARIO*30DIAS*2 /360DIAS (AÑO),SB*2  / 12 MESES,,,,,,,,,,,,
,,,"2,97 FINIQUITO GESTORIA",,,,,,,,,,,,,
,,,"VACACIONES SIEMPRE SE TOMA (BASE SALARIO + P.P EXTRA + OTROS COMO MEJORAS VOLUNTARIAS * 0,0833333)",,,,,,,,,,,,,
,,,"0,082191781 ES LO QUE GENERA DE VACACIONES POR CADA DIA TRABAJADO",,,,,,,,,,,,,
,,,"0,08219178082",,,,,,,,,,,,,
,,,"SI FUERA UN DIA COMPLETO DE SALARIO SERIA 8*6,192 (49,54)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  280,00 ",,TOTAL CALCULO DEVENGO," €  210,00 ",,TOTAL CALCULO DEVENGO," €  230,00 ",,TOTAL CALCULO DEVENGO," €  240,00 ",,TOTAL CALCULO DEVENGO," €  155,00 ",,TOTAL CALCULO DEVENGO," €  205,00 "
,,,,,,,,,,,,,,,,
DEVENGOS," €  175,00 ",,DEVENGOS," €  420,00 ",,DEVENGOS," €  370,00 ",,,,,,,,,
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,,,,,,,,
SALARIO BASE," €  108,36 ",,SALARIO BASE," €  260,06 ",,SALARIO BASE," €  229,10 ",,,,,,,,,
PP. EXTRA," €  18,06 ",,PP. EXTRA," €  43,34 ",,PP. EXTRA," €  38,18 ",,,,,,,,,
TOTAL," €  126,42 ",,TOTAL," €  303,41 ",,TOTAL," €  267,29 ",,,,,,,,,
FINIQUITO," €  10,39 ",,FINIQUITO," €  24,94 ",,FINIQUITO," €  21,97 ",,,,,,,,,
MEJORA VOLUNTARIA," €  38,19 ",,MEJORA VOLUNTARIA," €  91,65 ",,MEJORA VOLUNTARIA," €  80,74 ",,,,,,,,,
TOTAL CON FINIQUITO," €  136,81 ",,TOTAL CON FINIQUITO," €  328,35 ",,TOTAL CON FINIQUITO," €  289,26 ",,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  175,00 ",,TOTAL CALCULO DEVENGO," €  420,00 ",,TOTAL CALCULO DEVENGO," €  370,00 ",,,,,,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  30,00 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,,,,,,,,,,,,,,
SALARIO BASE," €  18,58 ",,,,,,,,,,,,,,,
PP. EXTRA," €  3,10 ",,,,,,,,,,,,,,,
TOTAL," €  21,67 ",,,,,,,,,,,,,,,
FINIQUITO," €  1,77 ",,,,,,,,,,,,,,,
MEJORA VOLUNTARIA," €  6,56 ",,,,,,,,,,,,,,,
TOTAL CON FINIQUITO," €  23,44 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  30,00 ",,,,,,,,,,,,,,,
